id,PC1,PC2,label
1,0.019383713495540248,0.4628852337435679,sport
2,0.014556961496855337,0.5261875243777738,sport
3,-0.03361196470669404,0.03237038070077443,sport
4,0.024711936496871378,0.4251476482321607,sport
5,-0.09896498205535448,0.016225491705776855,sport
6,0.007249550351398941,0.4604607682722239,sport
7,0.06707650274976339,0.5995478577967864,sport
8,0.12002839008217325,0.5545465751279973,sport
9,-0.1949633727530182,-0.019324152185532156,sport
10,-0.08308282816421106,-0.03442642935978253,sport
11,-0.13053888165347183,-0.0018589281546689093,sport
12,-0.17550753974825922,-0.04727139522283461,sport
13,-0.38642392350700366,-0.16424834689719836,sport
14,-0.09215213880768913,0.03583622675797802,sport
15,-0.17769418248586571,-0.06049282941329452,sport
16,0.01567664508104843,-0.003963096976966233,sport
17,0.0041626141388988545,0.04568837558517949,sport
18,-0.061639734600978435,0.0015818623988089649,sport
19,-0.48128663753413337,-0.2188666269947826,sport
20,-0.2930014483555208,-0.08366718861159295,sport
21,-0.2960241270567704,-0.05806684248518597,sport
22,-0.051810881168021405,-0.024001995116315775,sport
23,0.01486683998990524,0.33696600279954647,sport
24,-0.11823704764943294,-0.004234145086164208,sport
25,-0.24677421635769375,-0.08655753526531408,sport
26,-0.5218455069074546,-0.18438421390790397,sport
27,-0.3174876918808159,-0.06405650550169742,sport
28,-0.18719908615529227,-0.03953826203604237,sport
29,-0.46123355249151937,-0.2126622059498984,sport
30,-0.36422582512015034,-0.09070128491029554,sport
31,-0.11023401670063337,0.01211144701705036,sport
32,-0.3458302888414234,-0.16613865803427855,sport
33,-0.48475666163052145,-0.22989367186340884,sport
34,0.06224479859860946,0.5009218987857934,sport
35,-0.31385853749689996,-0.1263368878962369,sport
36,-0.17666675913051047,-0.0749492880180296,sport
37,0.0961242887869563,0.5843440807962548,sport
38,-0.08807662115854914,0.0039798476893820045,sport
39,-0.034672308220783224,0.07845039188139043,sport
40,-0.37684554582876656,-0.15859771270921505,sport
41,-0.3081340360161574,-0.0639425953900709,sport
42,-0.29301178474803447,-0.123010493763046,sport
43,-0.11686912087098708,-0.032877016284524024,sport
44,0.0827055585389214,0.594437400258742,sport
45,-0.31696135610784243,-0.13645527713595682,sport
46,-0.13485367413440982,-0.03373371305603467,sport
47,-0.37386679827324565,-0.1449610027331317,sport
48,-0.12868220838210667,-0.05005094335163092,sport
49,-0.3694928376942015,-0.11775424857317596,sport
50,-0.45271444886555706,-0.18449280110511607,sport
51,-0.4439233375042133,-0.17507114212228786,sport
52,-0.11949446339676296,-0.03275580445610117,sport
53,-0.18140388092066712,-0.06599774241126942,sport
54,-0.0976833436477037,0.022158388920440402,sport
55,-0.05971467205602501,0.03139245862264706,sport
56,-0.0052884157611702,0.06157094968939692,sport
57,-0.015290983475967268,0.054695662200597746,sport
58,-0.00468899080652254,0.08663464859175429,sport
59,-0.17508585484281208,0.03982820196332416,sport
60,-0.02827348296212355,0.01763761923479663,sport
61,-0.0853425507740501,0.017640915453581128,sport
62,-0.12635176905620385,-0.010162952286500377,sport
63,-0.17934584927177663,0.037507726983837475,sport
64,0.010819576681354264,0.035269118433430176,sport
65,0.07464276172268945,-0.020183329285857934,sport
66,-0.08463606167321135,-0.002909562560206039,sport
67,-0.0645997975443889,0.02291332416963073,sport
68,-0.031700780538404943,0.013620715531030548,sport
69,-0.06642519055446224,0.015490342915414764,sport
70,-0.07267175031934223,0.026337154920301305,sport
71,-0.19294815074316593,0.054851724778128635,sport
72,0.023683177562348615,0.03845896330484104,sport
73,0.021068034555185144,0.21467077420707645,sport
74,0.02866699520208673,0.5644784616949446,sport
75,-0.05353760155550227,0.22148454990448033,sport
76,-0.08879103583951291,0.03415248410943837,sport
77,-0.2088511181608828,0.04924194222203978,sport
78,0.01334355898696757,0.5419880840823511,sport
79,0.0027136476068895157,0.03184323223865174,sport
80,-4.685536175358045e-05,0.10485383303440991,sport
81,-0.04461164444077016,0.017663621224621638,sport
82,-0.05882200273212181,0.00952031721094986,sport
83,-0.09476759330702286,0.12586335860821135,sport
84,-0.014272489162961987,0.43834352899873685,sport
85,0.0041530705202936875,0.014740310459575684,sport
86,-0.1689322778876549,0.04306543785902289,sport
87,-0.02138959689441031,0.047891056326818254,sport
88,-0.04662859047580805,0.02699391682723919,sport
89,-0.019368727590426148,0.027463021205750546,sport
90,-0.09665646783510083,0.02058251510697854,sport
91,-0.09284864669645942,0.024279414395253114,sport
92,-0.038337107055706594,0.018553994775893513,sport
93,0.09156230142638948,0.2709600773348665,sport
94,-0.025531339782252287,0.00925135433799149,sport
95,-0.051287945532237776,0.04699365072830493,sport
96,0.043428672094574246,0.11767368142853457,sport
97,-0.20108910411911918,0.04335736520743335,sport
98,-0.009329959121435591,0.14353027906597216,sport
99,0.020735272050797556,0.019089403854470458,sport
100,-0.1044257560901723,0.009191205522621497,sport
101,0.5010796018281649,-0.29181985204899424,finance
102,0.4594927837262136,-0.26236719831525407,finance
103,0.06406664109279045,-0.008775118900598526,finance
104,0.059837817492782545,0.025752220395960812,finance
105,0.02306917310156676,-0.008042625487301181,finance
106,0.4097002821797152,-0.21070301065426256,finance
107,0.40213201798252585,-0.23486581286495412,finance
108,0.4188319514542549,-0.24889064906078137,finance
109,0.1360808975395431,-0.06259436539430678,finance
110,0.16539673938912253,-0.10514494596764695,finance
111,0.06265740686608447,-0.03612525944734859,finance
112,0.16631741924254467,-0.10090739880385434,finance
113,0.1614726999745186,-0.07213804313060203,finance
114,-0.023130343089278096,0.008073360088211625,finance
115,0.11196689763507857,-0.06410979669296328,finance
116,0.017949394194537817,-0.013531946633889411,finance
117,0.03213417552862334,-0.01477275729433571,finance
118,0.09009942189293438,-0.06288377566819615,finance
119,0.045958303013686586,-0.022172297247820168,finance
120,0.013456164085212255,-0.025623377088601667,finance
121,0.021613070145333695,-0.021430964708558323,finance
122,0.04316446360534994,-0.03548197622054933,finance
123,0.04288868037642973,-0.03539336728760347,finance
124,0.016542405858184506,-0.016299483175522614,finance
125,0.46663814408414417,-0.27648542014908944,finance
126,0.3575092574846562,-0.19222316204034523,finance
127,0.2355444542187334,-0.14670314320367633,finance
128,0.05579629003018374,-0.025632929027766527,finance
129,0.11499578279776018,-0.06640374835488727,finance
130,0.15023424090458226,0.4199611817785739,finance
131,0.06368416771989359,-0.02176554266361066,finance
132,0.16536309515984368,-0.08481965590509533,finance
133,0.07764161424241348,-0.03297980759528239,finance
134,0.019234752079915124,-0.01504730890842071,finance
135,0.08218679746038794,-0.030235116341573196,finance
136,0.10229004564869357,-0.021587335631819558,finance
137,0.10713438022082415,-0.04730188508240121,finance
138,0.1488396499100197,-0.1001847433573893,finance
139,0.08957558648858964,-0.05763842983029357,finance
140,0.13756642013947254,-0.032973133332302985,finance
141,0.05688395265493973,-0.028267774892348742,finance
142,0.07755679313873028,-0.04084517094611737,finance
143,0.03415306734933983,-0.012677728674467561,finance
144,0.0806262170993009,-0.046422668421527175,finance
145,0.05659407011087682,-0.03813718753832994,finance
146,0.050393899481744886,-0.03323706245721972,finance
147,0.08612078404823097,-0.0415770365678156,finance
148,0.31021138747933574,-0.1819377797133484,finance
149,0.06775613756605535,-0.019910029786547313,finance
150,0.07453358126251605,-0.029682874533501054,finance
151,0.042256123298541975,-0.019473344281510888,finance
152,0.04831537279936673,0.002120059280566992,finance
153,0.07502601271237937,-0.02221243275799503,finance
154,0.05812517942947306,-0.0386939645835067,finance
155,0.059404980341880013,-0.015719493191079563,finance
156,0.05665558049427611,-0.02159237338753781,finance
157,0.03560860604765367,-0.02785691153163877,finance
158,0.04031906176946265,-0.025151822779554515,finance
159,0.11837949938990511,-0.04400786664079281,finance
160,0.07697950617451844,-0.021709524007693326,finance
161,0.05574211173895611,-0.010233067670971072,finance
162,0.05777177125232066,-0.040919592426449734,finance
163,0.03145245578798238,-0.028927398019492928,finance
164,0.049727819885813644,-0.01795137312830959,finance
165,0.03715882398765427,-0.030553827819815985,finance
166,0.09667505001504978,-0.030494461452003317,finance
167,0.05345776746656209,-0.025079509946047376,finance
168,0.06654250844977007,-0.017199028092040682,finance
169,0.10677468389523462,-0.04653277251706181,finance
170,0.08027922101976663,-0.050211744321505505,finance
171,0.06322761904118893,-0.021574880390921477,finance
172,0.18591945963828008,-0.08383596084030787,finance
173,0.21677517876024693,-0.1477365744869895,finance
174,0.056208880687729945,-0.030974386083964363,finance
175,0.03525762636329976,-0.014597061726692442,finance
176,0.057817836291791776,-0.033280002482178064,finance
177,0.07472091901379144,-0.039832317780766104,finance
178,0.07008815301603413,-0.030827002904598267,finance
179,0.23924428154893107,-0.13728772374351475,finance
180,0.2003777306746311,-0.1286301630915776,finance
181,0.18135759845011312,-0.11195152990226476,finance
182,0.05048824520879045,0.007891343926445513,finance
183,0.22100475737554273,-0.1405294721462842,finance
184,0.0904039333410007,-0.05270990894435388,finance
185,0.46188439063424497,-0.2537557324809418,finance
186,0.08110378643361991,-0.047555934547620284,finance
187,0.06408102824523343,-0.027503691316550356,finance
188,0.06813338078420678,-0.022360631533686386,finance
189,0.0942226556462002,-0.04250486747988775,finance
190,0.264256106063806,-0.15118668233497878,finance
191,0.02934238894503108,-0.02292967452307635,finance
192,0.12438768893331872,-0.08355216603992219,finance
193,0.08247867705130393,-0.039730697082863885,finance
194,0.06678513896946245,-0.037065255237310225,finance
195,0.2212564582512582,-0.14960465788635505,finance
196,0.02767159136272604,0.002101920008373241,finance
197,0.09668728773505922,-0.03266178994465484,finance
198,0.0856821316154714,-0.04021504732900535,finance
199,0.24060155850783246,-0.13591862693059292,finance
200,0.10006163208992883,-0.029137415183574444,finance
